segundo,throughput,latencia_avg,latencia_p95,errores,clientes_activos,durante_falla,msgs_coordinacion
1,1217,1.27,5.00,0,50,false,0
2,442,1.04,4.00,0,50,false,477
3,514,0.94,4.00,0,50,false,477
4,423,0.85,4.00,0,50,false,477
5,461,0.79,4.00,0,50,false,477
6,369,0.74,3.00,0,50,false,994
7,444,0.69,3.00,0,50,false,1035
8,186,0.68,3.00,0,50,false,1035
9,218,0.65,3.00,0,50,false,1035
10,378,0.63,3.00,0,50,false,1035
11,216,0.61,3.00,17,33,false,1035
12,235,0.60,3.00,17,33,false,1561
13,278,0.59,3.00,17,39,false,1561
14,325,0.57,3.00,17,46,false,1561
15,359,0.56,3.00,17,50,false,1561
16,495,0.54,3.00,17,50,false,1561
17,295,0.54,2.00,17,50,false,1960
18,347,0.52,2.00,17,50,false,1960
19,384,0.51,2.00,17,50,false,1960
20,395,0.49,2.00,17,50,false,1960
21,390,0.48,2.00,17,50,false,1960
22,476,0.46,2.00,17,50,false,2294
23,270,0.47,2.00,17,50,false,2294
24,386,0.46,2.00,17,50,false,2294
25,382,0.45,2.00,17,50,false,2294
26,387,0.44,2.00,17,50,false,2294
27,404,0.43,2.00,17,50,false,2825
28,386,0.42,2.00,17,50,false,2825
29,379,0.41,2.00,17,50,false,2825
30,403,0.40,2.00,17,50,false,2825
31,378,0.39,2.00,17,50,false,2825
32,391,0.39,2.00,17,50,false,3446
33,392,0.38,2.00,17,50,false,3446
34,383,0.37,2.00,17,50,false,3446
35,387,0.37,2.00,17,50,false,3446
36,387,0.36,2.00,17,50,false,3446
37,374,0.36,2.00,17,50,false,3717
38,384,0.35,2.00,17,50,false,3717
39,384,0.35,2.00,17,50,false,3717
40,396,0.34,2.00,17,50,false,3717
41,390,0.34,2.00,17,50,false,3717
42,389,0.34,2.00,17,50,false,4268
43,395,0.33,2.00,17,50,false,4268
44,391,0.33,2.00,17,50,false,4268
45,383,0.32,2.00,17,50,false,4268
46,395,0.32,2.00,17,50,false,4268
47,382,0.32,2.00,17,50,false,4553
48,388,0.32,2.00,17,50,false,4553
49,369,0.31,2.00,17,50,false,4553
50,391,0.31,2.00,17,50,false,4553
51,382,0.31,2.00,17,50,false,4553
52,371,0.31,2.00,17,50,false,4932
53,374,0.31,1.00,17,50,false,4932
54,332,0.31,1.00,17,50,false,4932
55,497,0.30,1.00,17,50,false,2567
56,127,0.30,1.00,17,50,false,2567
57,182,0.30,1.00,17,50,false,5635
58,263,0.30,1.00,17,50,false,5635
59,373,0.30,1.00,17,50,false,5635
